Vivado Simulator 2018.2
Time resolution is 1 ps
a=0xbab4 b=0x8d88  c_out=0x1 sum=0x483c error=0x0 
a=0xd928 b=0x42d  c_out=0x0 sum=0xdd55 error=0x0 
a=0x30c7 b=0x9c2e  c_out=0x0 sum=0xccf5 error=0x0 
a=0xe408 b=0x451c  c_out=0x1 sum=0x2924 error=0x0 
a=0xa6fd b=0x729  c_out=0x0 sum=0xae26 error=0x0 
a=0x901c b=0x6786  c_out=0x0 sum=0xf7a2 error=0x0 
a=0x8da b=0xc63d  c_out=0x0 sum=0xcf17 error=0x0 
a=0xa766 b=0xc470  c_out=0x1 sum=0x6bd6 error=0x0 
a=0x473 b=0x99ba  c_out=0x0 sum=0x9e2d error=0x0 
a=0xb35e b=0x79fa  c_out=0x1 sum=0x2d58 error=0x0 
a=0x5d5 b=0xf61a  c_out=0x0 sum=0xfbef error=0x0 
a=0xb9 b=0x6137  c_out=0x0 sum=0x61f0 error=0x0 
a=0x3796 b=0x21c0  c_out=0x0 sum=0x5956 error=0x0 
a=0x9f26 b=0x1ab6  c_out=0x0 sum=0xb9dc error=0x0 
a=0x837d b=0xfdc  c_out=0x0 sum=0x9359 error=0x0 
a=0x5786 b=0xff78  c_out=0x1 sum=0x56fe error=0x1 
a=0x9b7e b=0x80db  c_out=0x1 sum=0x1c59 error=0x0 
a=0xb6cf b=0x2b79  c_out=0x0 sum=0xe248 error=0x0 
a=0xe4fa b=0xee61  c_out=0x1 sum=0xd35b error=0x0 
a=0x917 b=0x78a1  c_out=0x0 sum=0x81b8 error=0x0 
